Month,cloud tco: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,30
2008-08,0
2008-09,28
2008-10,0
2008-11,0
2008-12,0
2009-01,24
2009-02,0
2009-03,0
2009-04,0
2009-05,22
2009-06,22
2009-07,0
2009-08,0
2009-09,21
2009-10,19
2009-11,58
2009-12,58
2010-01,18
2010-02,38
2010-03,17
2010-04,18
2010-05,35
2010-06,18
2010-07,0
2010-08,65
2010-09,62
2010-10,15
2010-11,43
2010-12,0
2011-01,27
2011-02,28
2011-03,50
2011-04,41
2011-05,13
2011-06,65
2011-07,13
2011-08,25
2011-09,24
2011-10,11
2011-11,34
2011-12,11
2012-01,31
2012-02,21
2012-03,30
2012-04,21
2012-05,58
2012-06,10
2012-07,20
2012-08,0
2012-09,10
2012-10,45
2012-11,45
2012-12,9
2013-01,16
2013-02,27
2013-03,48
2013-04,49
2013-05,23
2013-06,41
2013-07,24
2013-08,24
2013-09,23
2013-10,45
2013-11,69
2013-12,30
2014-01,14
2014-02,46
2014-03,34
2014-04,29
2014-05,36
2014-06,48
2014-07,47
2014-08,8
2014-09,52
2014-10,43
2014-11,22
2014-12,22
2015-01,40
2015-02,29
2015-03,66
2015-04,62
2015-05,40
2015-06,27
2015-07,46
2015-08,26
2015-09,45
2015-10,43
2015-11,75
2015-12,38
2016-01,25
2016-02,67
2016-03,50
2016-04,32
2016-05,63
2016-06,59
2016-07,27
2016-08,14
2016-09,47
2016-10,51
2016-11,58
2016-12,32
2017-01,42
2017-02,64
2017-03,63
2017-04,67
2017-05,48
2017-06,71
2017-07,57
2017-08,54
2017-09,68
2017-10,64
2017-11,64
2017-12,60
2018-01,50
2018-02,91
2018-03,67
2018-04,87
2018-05,100
2018-06,62
2018-07,57
